station_id,latitude,longitude,name,zone,stepfree,stepfree_interchange,line,line_name
743,51.5775,0.0288,Wanstead,4.0,0,0,2,Central Line
745,51.5247,-0.1384,Warren Street,1.0,0,0,9,Northern Line
745,51.5247,-0.1384,Warren Street,1.0,0,0,11,Victoria Line
746,51.5235,-0.1835,Warwick Avenue,2.0,0,0,1,Bakerloo Line
747,51.5036,-0.1143,Waterloo,1.0,1,1,1,Bakerloo Line
747,51.5036,-0.1143,Waterloo,1.0,1,1,7,Jubilee Line
747,51.5036,-0.1143,Waterloo,1.0,1,1,9,Northern Line
747,51.5036,-0.1143,Waterloo,1.0,1,1,12,Waterloo & City Line
748,51.6573,-0.4177,Watford,8.0,0,0,8,Metropolitan Line
751,51.5519,-0.2963,Wembley Central,4.0,1,1,1,Bakerloo Line
752,51.5635,-0.2795,Wembley Park,4.0,1,1,7,Jubilee Line
752,51.5635,-0.2795,Wembley Park,4.0,1,1,8,Metropolitan Line
753,51.518,-0.2809,West Acton,3.0,0,0,2,Central Line
755,51.4872,-0.1953,West Brompton,2.0,0,0,4,District Line
756,51.6095,-0.1883,West Finchley,4.0,1,1,9,Northern Line
757,51.5287,0.0056,West Ham,3.0,1,1,4,District Line
757,51.5287,0.0056,West Ham,3.0,1,1,6,Hammersmith & City Line
757,51.5287,0.0056,West Ham,3.0,1,1,7,Jubilee Line
758,51.5469,-0.1906,West Hampstead,2.0,0,0,7,Jubilee Line
759,51.5795,-0.3533,West Harrow,5.0,0,0,8,Metropolitan Line
760,51.4907,-0.2065,West Kensington,2.0,0,0,4,District Line
762,51.5696,-0.4376,West Ruislip,6.0,0,0,2,Central Line
754,51.521,-0.2011,Westbourne Park,2.0,0,0,3,Circle Line
754,51.521,-0.2011,Westbourne Park,2.0,0,0,6,Hammersmith & City Line
761,51.501,-0.1254,Westminster,1.0,1,1,3,Circle Line
761,51.501,-0.1254,Westminster,1.0,1,1,4,District Line
761,51.501,-0.1254,Westminster,1.0,1,1,7,Jubilee Line
764,51.512,-0.2239,White City,2.0,0,0,2,Central Line
763,51.5194,-0.0612,Whitechapel,2.0,0,0,4,District Line
763,51.5194,-0.0612,Whitechapel,2.0,0,0,6,Hammersmith & City Line
765,51.5492,-0.2215,Willesden Green,2.5,0,0,7,Jubilee Line
766,51.5326,-0.2478,Willesden Junction,3.0,1,1,1,Bakerloo Line
767,51.4214,-0.2064,Wimbledon,3.0,1,1,4,District Line
768,51.4343,-0.1992,Wimbledon Park,3.0,0,0,4,District Line
770,51.5975,-0.1097,Wood Green,3.0,0,0,10,Piccadilly Line
